Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
The True Aaron,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.LEV.h1_19.html,https://archive.org/details/worksofrevjohnne03newt/page/327/mode/1up,,,No,I,XIX,Lev 8:7-9,"See Aaron, God’s anointed priest","8,6,8,6",,
Balaam’s Wish,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.NUM.h1_20.html,https://archive.org/details/worksofrevjohnne03newt/page/329/mode/1up,,,No,I,XX,Num 23:10,How blest the righteous are,"6,6,8,6",,
Gibeon,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JOS.h1_21.html,https://archive.org/details/worksofrevjohnne03newt/page/330/mode/1up,,,No,I,XXI,Jos 10:6,"When Joshua, by God's command","8,8,8,8",,
Jehovah-Shalem—The Lord Send Peace,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JDG.h1_22.html,https://archive.org/details/worksofrevjohnne03newt/page/331/mode/1up,,,Yes,I,XXII,Jud 6:24,"Jesus, whose blood so freely stream'd","8,8,8,8",,
Gideon’s Fleece,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JDG.h1_23.html,https://archive.org/details/worksofrevjohnne03newt/page/332/mode/1up,,,No,I,XXIII,Jud 6:37-40,The signs which God to Gideon gave,"8,8,8,8",,
Samson’s Lion,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.JDG.h1_24.html,https://archive.org/details/worksofrevjohnne03newt/page/333/mode/1up,,,No,I,XXIV,Jud 14:8,The lion that on Samson roar'd,"8,6,8,6",,
Hannah; or the Throne of Grace,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iSA.h1_25.html,https://archive.org/details/worksofrevjohnne03newt/page/334/mode/1up,,,No,I,XXV,1SA 1:18,"When Hannah, press'd with grief","6,6,6,6,8,8",,
Dagon before the Ark,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iSA.h1_26.html,https://archive.org/details/worksofrevjohnne03newt/page/335/mode/1up,,,No,I,XXVI,"1SA 5:4,5",When first to make my heart his own,"8,8,8,8",,
The Milch Kine drawing the Ark: Faith’s Surrender of all,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iSA.h1_27.html,https://archive.org/details/worksofrevjohnne03newt/page/336/mode/1up,,,No,I,XXVII,1SA 6:12,The kine unguided went,"6,6,8,6",,
Saul's Armour,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iSA.h1_28.html,https://archive.org/details/worksofrevjohnne03newt/page/337/mode/1up,,,No,I,XXVII,1SA 17:38-40,When first my soul enlisted,"7,6,7,6",,
