Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
Time How Swift,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.SEASONS.h2_1.html,https://archive.org/details/worksofrevjohnne03newt/page/463/mode/1up,,,No,II,I,Seasons,While with ceaseless course the sun,"7,7,7,7D",NEW-YEAR’S HYMNS,
Time How Short,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.SEASONS.h2_2.html,https://archive.org/details/worksofrevjohnne03newt/page/464/mode/1up,,,No,II,II,Seasons,"Time, with an unwearied hand","7,7,7,7D",,
Uncertainty of Life.,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.SEASONS.h2_3.html,https://archive.org/details/worksofrevjohnne03newt/page/465/mode/1up,,,No,II,III,Seasons,See! another year is gone!,"7,7,7,7D",,
A New-Year's Thought and Prayer,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.SEASONS.h2_4.html,https://archive.org/details/worksofrevjohnne03newt/page/466/mode/1up,,,No,II,IV,Seasons,"Time, by moments, steals away","7,7,7,7D",,
Death and War. 1778.,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.SEASONS.h2_5.html,https://archive.org/details/worksofrevjohnne03newt/page/467/mode/1up,,,No,II,V,Seasons,Hark ! how time's wide-sounding bell,"7,7,7,7D",,
Earthly Prosjiects Deceitful,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.SEASONS.h2_6.html,https://archive.org/details/worksofrevjohnne03newt/page/469/mode/1up,,,No,II,VI,Seasons,Oft in vain the voice of truth,"7,7,7,7D",,
Prayer for a Blessing,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.NewYear.h2_7.html,https://archive.org/details/worksofrevjohnne03newt/page/470/mode/1up,,,No,II,VII,Seasons,"Now, gracious Lord, thine arm reveal","8,6,8,6","HYMNS before annual Sermons to young people, on new-years evenings",
Prayer for a Blessing,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.NewYear.h2_8.html,https://archive.org/details/worksofrevjohnne03newt/page/471/mode/1up,,,Yes,II,VIII,Seasons,"Bestow, dear Lord, upon our youth","8,6,8,6",,
Prayer for a Blessing,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.NewYear.h2_9.html,https://archive.org/details/worksofrevjohnne03newt/page/472/mode/1up,,,No,II,IX,Seasons,Now may fervent pray'r arise,"7,7,7,7",,
Casting the Gospel Net,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.NewYear.h2_10.html,https://archive.org/details/worksofrevjohnne03newt/page/473/mode/1up,,,No,II,X,Seasons,When Peter through the tedious night,"8,8,8,8",,
Pleading for and with Youth.,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.NewYear.h2_11.html,https://archive.org/details/worksofrevjohnne03newt/page/474/mode/1up,,,Yes,II,XI,Seasons,Sin has undone our wretched race,"8,6,8,6",,
Praijer for Children,,,,,FALSE,,,,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book2.NewYear.h2_12.html,https://archive.org/details/worksofrevjohnne03newt/page/475/mode/1up,,,Yes,II,XII,Seasons,"Gracious Lord, our children see","7,7,7,7D",,
